CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
20202,ANCASH,AIJA,CORIS,PEANC,DIST. NACIONAL,-,6,ALEJADO,,,x
20901,ANCASH,CORONGO,CORONGO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21703,ANCASH,RECUAY,COTAPARACO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21103,ANCASH,HUARMEY,CULEBRAS,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
20904,ANCASH,CORONGO,CUSCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21005,ANCASH,HUARI,HUACACHI,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21504,ANCASH,PALLASCA,HUACASCHUQUE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21006,ANCASH,HUARI,HUACCHIS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21007,ANCASH,HUARI,HUACHIS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20203,ANCASH,AIJA,HUACLLAN,PEANC,DIST. NACIONAL,-,6,ALEJADO,,,x
20508,ANCASH,BOLOGNESI,HUALLANCA,PEHRZ,DIST. NACIONAL,-,3,ALEJADO,,x,
21202,ANCASH,HUAYLAS,HUALLANCA,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
20104,ANCASH,HUARAZ,HUANCHAY,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21505,ANCASH,PALLASCA,HUANDOVAL,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21008,ANCASH,HUARI,HUANTAR,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20101,ANCASH,HUARAZ,HUARAZ,PEHRZ,DIST. NACIONAL,-,1,URBANO,x,,
21001,ANCASH,HUARI,HUARI,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21101,ANCASH,HUARMEY,HUARMEY,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
20509,ANCASH,BOLOGNESI,HUASTA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21203,ANCASH,HUAYLAS,HUATA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21104,ANCASH,HUARMEY,HUAYAN,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
21204,ANCASH,HUAYLAS,HUAYLAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21906,ANCASH,SIHUAS,HUAYLLABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20510,ANCASH,BOLOGNESI,HUAYLLACAYAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21602,ANCASH,POMABAMBA,HUAYLLAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21704,ANCASH,RECUAY,HUAYLLAPAMPA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20105,ANCASH,HUARAZ,INDEPENDENCIA,PEHRZ,DIST. NACIONAL,-,1,URBANO,x,,
20106,ANCASH,HUARAZ,JANGAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
