CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
21002,ANCASH,HUARI,ANRA,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20604,ANCASH,CARHUAZ,ANTA,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20504,ANCASH,BOLOGNESI,AQUIA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20605,ANCASH,CARHUAZ,ATAQUERO,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20903,ANCASH,CORONGO,BAMBAS,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21502,ANCASH,PALLASCA,BOLOGNESI,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
20802,ANCASH,CASMA,BUENA VISTA ALTA,PECHM,DIST. NACIONAL,-,2,LIM - CHM,ALEJADO
21501,ANCASH,PALLASCA,CABANA,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
21802,ANCASH,SANTA,CACERES DEL PERU,PECHM,DIST. NACIONAL,-,3,LIM - TPP,ALEJADO
20505,ANCASH,BOLOGNESI,CAJACAY,PEANC,DIST. NACIONAL,-,3,LIM - CJA,ALEJADO
21403,ANCASH,OCROS,CAJAMARQUILLA,PEANC,DIST. NACIONAL,-,3,LIM - CJA,URBANO
21003,ANCASH,HUARI,CAJAY,PEANC,DIST. NACIONAL,-,2,LIM - BAR,ALEJADO
20506,ANCASH,BOLOGNESI,CANIS,PEANC,DIST. NACIONAL,-,3,LIM - AYP,ALEJADO
21201,ANCASH,HUAYLAS,CARAZ,PEHRZ,DIST. NACIONAL,-,2,LIM - ABA,ALEJADO
21404,ANCASH,OCROS,CARHUAPAMPA,PEANC,DIST. NACIONAL,-,3,LIM - AYP,ALEJADO
20601,ANCASH,CARHUAZ,CARHUAZ,PEHRZ,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
21302,ANCASH,MARISCAL LUZURIAGA,CASCA,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
22002,ANCASH,YUNGAY,CASCAPARA,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
21904,ANCASH,SIHUAS,CASHAPAMPA,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
20801,ANCASH,CASMA,CASMA,PECHM,DIST. NACIONAL,-,2,LIM - TBP,ALEJADO
21702,ANCASH,RECUAY,CATAC,PEANC,DIST. NACIONAL,-,2,LIM - HNV,ALEJADO
20401,ANCASH,ASUNCION,CHACAS,PEANC,DIST. NACIONAL,-,3,LIM - HYO,ALEJADO
20303,ANCASH,ANTONIO RAYMONDI,CHACCHO,PEANC,DIST. NACIONAL,-,3,LIM - CEP,ALEJADO
