CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
021403,ANCASH,OCROS,CAJAMARQUILLA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021003,ANCASH,HUARI,CAJAY,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020506,ANCASH,BOLOGNESI,CANIS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021201,ANCASH,HUAYLAS,CARAZ,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
021404,ANCASH,OCROS,CARHUAPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020601,ANCASH,CARHUAZ,CARHUAZ,PEHRZ,DIST. NACIONAL,-,3,ALEJADO,,x,
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
022002,ANCASH,YUNGAY,CASCAPARA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021904,ANCASH,SIHUAS,CASHAPAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020801,ANCASH,CASMA,CASMA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021702,ANCASH,RECUAY,CATAC,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020401,ANCASH,ASUNCION,CHACAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021801,ANCASH,SANTA,CHIMBOTE,PECHM,DIST. NACIONAL,-,1,URBANO,x,,
021905,ANCASH,SIHUAS,CHINGALPO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020501,ANCASH,BOLOGNESI,CHIQUIAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020102,ANCASH,HUARAZ,COCHABAMBA,PEANC,DIST. NACIONAL,-,4,ALEJADO,,,x
021102,ANCASH,HUARMEY,COCHAPETI,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021405,ANCASH,OCROS,COCHAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021803,ANCASH,SANTA,COISHCO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
020103,ANCASH,HUARAZ,COLCABAMBA,PEANC,DIST. NACIONAL,-,4,ALEJADO,,,x
020507,ANCASH,BOLOGNESI,COLQUIOC,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020803,ANCASH,CASMA,COMANDANTE NOEL,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021503,ANCASH,PALLASCA,CONCHUCOS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021406,ANCASH,OCROS,CONGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020202,ANCASH,AIJA,CORIS,PEANC,DIST. NACIONAL,-,6,ALEJADO,,,x
020901,ANCASH,CORONGO,CORONGO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021703,ANCASH,RECUAY,COTAPARACO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021103,ANCASH,HUARMEY,CULEBRAS,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
020904,ANCASH,CORONGO,CUSCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021005,ANCASH,HUARI,HUACACHI,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021504,ANCASH,PALLASCA,HUACASCHUQUE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021006,ANCASH,HUARI,HUACCHIS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021007,ANCASH,HUARI,HUACHIS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020203,ANCASH,AIJA,HUACLLAN,PEANC,DIST. NACIONAL,-,6,ALEJADO,,,x
020508,ANCASH,BOLOGNESI,HUALLANCA,PEHRZ,DIST. NACIONAL,-,3,ALEJADO,,x,
021202,ANCASH,HUAYLAS,HUALLANCA,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
020104,ANCASH,HUARAZ,HUANCHAY,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021505,ANCASH,PALLASCA,HUANDOVAL,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021008,ANCASH,HUARI,HUANTAR,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020101,ANCASH,HUARAZ,HUARAZ,PEHRZ,DIST. NACIONAL,-,1,URBANO,x,,
